Name,Qualification,Specialization,Link
Dr. Surendra Ugale,"MBBS, MS (Gen Surgery)",General Surgeon,skedoc.com/hyderabad/doctor/dr-surendra-ugale-general-surgeon
Dr. Thondapu Pavan Reddy,"MBBS, MD, DM (Gastroenterology)",Gastroenterologist,skedoc.com/hyderabad/doctor/dr-thondapu-pavan-reddy-gastroenterologist
Dr. Vemula Sreekanth,"MBBS, MD, DM (Neurology)",Neurologist,skedoc.com/hyderabad/doctor/dr-vemula-sreekanth-neurologist
Dr. Virinchi Sharma,"MBBS, MD (Psychiatry)",Psychiatrist,skedoc.com/hyderabad/doctor/dr-virinchi-sharma-psychiatrist
Dr. Y. Satish Reddy,"MBBS, MS (General Surgery), FIAGES, FALS",Surgical Gastroenterologist,skedoc.com/hyderabad/doctor/dr-y-satish-reddy-surgical-gastroenterologist
Dr.Venkata Ramakrishna T,"MBBS, MS, Fellowship in Spine Surgery",Spine Surgeon,skedoc.com/hyderabad/doctor/dr-venkata-ramakrishna-t-spine-surgeon
Dr. Abhinandan Badam,"MBBS, DNB, MCh (Plastic Surgery)",Plastic surgeon,skedoc.com/hyderabad/doctor/dr-abhinandan-badam-plastic-surgeon
Dr. Anitha Rayirala,"MBBS, MD (Psychiatry)",Psychiatrist,skedoc.com/hyderabad/doctor/dr-anitha-rayirala-psychiatrist
Dr. Anusha Madamanchi,"MBBS, DNB (Paediatrics), MRCPCH",Paediatrician,skedoc.com/hyderabad/doctor/dr-anusha-madamanchi-paediatrician
Dr. Deepthi Rayi,"MBBS, DCh, DNB (Paediatrics)",Paediatrician,skedoc.com/hyderabad/doctor/dr-deepthi-rayi-paediatric-surgeon
Dr. G. V. Raj Gopal,"MBBS, MS, M Ch (Urology)",Urologist,skedoc.com/hyderabad/doctor/dr-g-v-raj-gopal-urologist
Dr. Imran Ul Haq,"MBBS, MD, DNB (Cardiology)",Cardiologist,skedoc.com/hyderabad/doctor/dr-imran-ul-haq-cardiologist
Dr. K.C Gotham,"MBBS, MD (RT)",Radiation Oncologist,skedoc.com/hyderabad/doctor/dr-k-c-gotham-radiation-oncologist
Dr. Kajaree Giri,"MBBS, MD Internal Medicine, DM Nephrology",Nephrologist,skedoc.com/hyderabad/doctor/dr-kajaree-giri-nephrologist
Dr. Kishore B Reddy,"MBBS, D.Ortho, MS(Ortho), FBST",Orthopaedic Surgeon,skedoc.com/hyderabad/doctor/dr-kishore-b-reddy-orthopaedic-surgeon
Dr. Lingaiah Miryala,"MBBS, MD (General Medicine)",General Physician,skedoc.com/hyderabad/doctor/dr-lingaiah-miryala-general-physician
Dr. M. Praveen Kumar,"MBBS, DNB (ENT)",ENT Surgeon,skedoc.com/hyderabad/doctor/dr-m-praveen-kumar-ent-surgeon
Dr. M.Chandra Sekhar,"MBBS, MD (Paediatrics)",Paediatrician,skedoc.com/hyderabad/doctor/dr-m-chandra-sekhar-paediatrician
Dr. Mohammed Muzahid,"MBBS, MS, MCh (Neurosurgery)",Neuro Surgeon,skedoc.com/hyderabad/doctor/dr-mohammed-muzahid-neuro-surgeon
Dr. Ponnada Pravallika,"MBBS, MS (General Surgery)",General Surgeon,skedoc.com/hyderabad/doctor/dr-ponnada-pravallika-general-surgeon
Dr. Rahul Patibandla,"MBBS, MD, DNB (Nephrology)",Nephrologist,skedoc.com/hyderabad/doctor/dr-rahul-patibandla-nephrologist
Dr. Ravindra Kumar Sravanam,"MBBS, MD (Gen Med)",General Physician,skedoc.com/hyderabad/doctor/dr-ravindra-kumar-sravanam-general-physician
Dr. Ritu Bhavanam Reddy,MDS,Dentist,skedoc.com/hyderabad/doctor/dr-ritu-bhavanam-reddy-dentist
Dr. S V S Abhilash Kumar,"MBBS, MS (Orthopaedics)",Orthopaedic Surgeon,skedoc.com/hyderabad/doctor/dr-s-v-s-abhilash-kumar-orthopaedic-surgeon
Dr. Sai Viksheth Basani,"MBBS, D. Ortho, DNB , FASSI, FMISS",Spine Surgeon,skedoc.com/hyderabad/doctor/dr-sai-viksheth-basani-spine-surgeon
Dr. Samyuktha Agiri,"MBBS, MS (ENT)",ENT Surgeon,skedoc.com/hyderabad/doctor/dr-samyuktha-agiri-ent-surgeon
Dr. Santoshini Nemuri,"MBBS, MS (Orthopaedics)",Orthopaedic Surgeon,skedoc.com/hyderabad/doctor/dr-santoshini-nemuri-orthopaedic-surgeon
Dr. Sridevi K,"MBBS, DNB (Obstetrics and Gynaecology)",Gynaecologist,skedoc.com/hyderabad/doctor/dr-sridevi-k-gynaecologist
Dr. Sriram Srikakulapu,"MBBS, MD, DM (Gastroenterology)",Gastroenterologist,skedoc.com/hyderabad/doctor/dr-sriram-srikakulapu-gastroenterologist
Dr. Sriteja Devalla,"MBBS, MD (Skin & VD)",Dermatologist,skedoc.com/hyderabad/doctor/dr-sriteja-devalla-dermatologist
Dr. Sriteja Vemulapalli,"MBBS, MD (DVL)",Dermatologist,skedoc.com/hyderabad/doctor/dr-sriteja-vemulapalli-dermatologist
Dr. Subhangi Thakur Hameer,"MBBS, MD, DM Neurology",Neurologist,skedoc.com/hyderabad/doctor/dr-subhangi-thakur-hameer-neurologist
Dr. T. Jayaprada,"MBBS, MD (OBG)",Gynaecologist,skedoc.com/hyderabad/doctor/dr-t-jayaprada-gynaecologist
Dr. Tagore Mohan Grandhi,"MBBS, MS (General Surgery), FRCS",General Surgeon,skedoc.com/hyderabad/doctor/dr-tagore-mohan-grandhi-general-surgeon
Dr. V. Harish Kumar,"MBBS, DNB, DTCD, MNAMS",Pulmonologist,skedoc.com/hyderabad/doctor/dr-v-harish-kumar-pulmonologist
Dr. Venkateswara Kumar,"MBBS, MS, DNB (Surgical Oncology), FMAS, FIAGES",Surgical Oncologist,skedoc.com/hyderabad/doctor/dr-venkateswara-kumar-surgical-oncologist
Dr. Arun Kumar Donakonda,"MBBS, MD, DM (Nephrology)",Nephrologist,skedoc.com/hyderabad/doctor/dr-arun-kumar-donakonda-nephrologist
Dr. H.Yasaswini,"MBBS, MS (Gen Surgery)",General Surgeon,skedoc.com/hyderabad/doctor/dr-h-yasaswini-general-surgeon
Dr. Krishna Bojja,"MBBS, MS (ENT)",ENT Surgeon,skedoc.com/hyderabad/doctor/dr-krishna-bojja-ent-surgeon
Dr. Krishna Moorthy,"MBBS, MS, MCh (Plastic Surgery)",Plastic surgeon,skedoc.com/hyderabad/doctor/dr-krishna-moorthy-plastic-surgeon
Dr. L. Harish Rao,"MBBS, MD (Pulmonology)",Pulmonologist,skedoc.com/hyderabad/doctor/dr-l-harish-rao-pulmonologist
Dr. Moka Praneeth,"MBBS, MD, DM (Gastro)",Gastroenterologist,skedoc.com/hyderabad/doctor/dr-moka-praneeth-gastroenterologist
Dr. Ponaganti Nishanth,"MBBS, DNB, DM (Neurology)",Neurologist,skedoc.com/hyderabad/doctor/dr-ponaganti-nishanth-neurologist
Dr. R. Sandeep,"MBBS, MS (Orthopaedics)",Orthopaedic Surgeon,skedoc.com/hyderabad/doctor/dr-r-sandeep-orthopaedic-surgeon
Dr. Vikram Akavaram,"MBBS, DPM, FIPS",Psychiatrist,skedoc.com/hyderabad/doctor/dr-vikram-akavaram-psychiatrist
Dr.G.L. Phani Raj,"MBBS, MCh (Neurosurgery)",Neuro Surgeon,skedoc.com/hyderabad/doctor/dr-g-l-phani-raj-neuro-surgeon
DR. K. Keerthikar Reddy,"MBBS, MS (Orthopaedics)",Orthopaedic Surgeon,skedoc.com/hyderabad/doctor/dr-k-keerthikar-reddy-orthopaedic-surgeon
DR. PRAWAHAR CHILUVERU,"MBBS, MS (ENT)",ENT Surgeon,skedoc.com/hyderabad/doctor/dr-prawahar-chiluveru-ent-surgeon
Dr Shyam Rao,"MBBS, DCH (Paediatrics)",Paediatrician,skedoc.com/hyderabad/doctor/dr-shyam-rao-paediatrician
Dr. Aparna Krishnappa,"MBBS, MD (DVL)",Dermatologist,skedoc.com/hyderabad/doctor/dr-aparna-krishnappa-dermatologist
Dr. Aruna Kumari,"MBBS, DNB, DGO",Gynaecologist,skedoc.com/hyderabad/doctor/dr-aruna-kumari-gynaecologist
Dr. Ch. Revanth Chakravarthy,"MBBS, DNB, DM (Rheumatology)",Rheumatologist,skedoc.com/hyderabad/doctor/dr-ch-revanth-chakravarthy-rheumatologist
Dr. D.V.L. Narayana Rao,"MBBS, MS, MCh (Surg Gastro)",Surgical Gastroenterologist,skedoc.com/hyderabad/doctor/dr-d-v-l-narayana-rao-surgical-gastroenterologist
Dr. Hidayatullah. G,"MBBS, MS, M Ch (Urology)",Urologist,skedoc.com/hyderabad/doctor/dr-hidayatullah-g-urologist
Dr. K. Srinivas,"MBBS, DCh (Paediatrics), PGPN",Paediatrician,skedoc.com/hyderabad/doctor/dr-k-srinivas-paediatrician
Dr. K.Sarat Chandra,"MBBS, MD, DM (Cardiology), FACC, FESC, FCSI",Cardiologist,skedoc.com/hyderabad/doctor/dr-k-sarat-chandra-cardiologist
Dr. Kancherla Srinivas,"MBBS, D Ch",Paediatrician,skedoc.com/hyderabad/doctor/dr-kancherla-srinivas-paediatrician
Dr. Krishna Prabakar,"MBBS, MD (Gen Medicine)",General Physician,skedoc.com/hyderabad/doctor/dr-krishna-prabakar-general-physician
Dr. L. Arjun Raj Kumar,"MBBS, MD (Paediatrics)",Paediatrician,skedoc.com/hyderabad/doctor/dr-l-arjun-raj-kumar-paediatrician
Dr. M. V. S. Keerthi,"MBBS, DNB, DTCD",Pulmonologist,skedoc.com/hyderabad/doctor/dr-m-v-s-keerthi-pulmonologist
Dr. M.Alluru Sarath Chandra,"MBBS, MS, MCh (CT)",Cardio Thoracic Surgeon,skedoc.com/hyderabad/doctor/dr-m-alluru-sarath-chandra-cardio-thoracic-surgeon
Dr. N.Pavan Kumar,"MBBS, MD, DM (Nephrology)",Nephrologist,skedoc.com/hyderabad/doctor/dr-n-pavan-kumar-nephrologist
Dr. Naresh Kumar G,"MBBS, MS, MCh (Neurosurgery)",Neuro Surgeon,skedoc.com/hyderabad/doctor/dr-naresh-kumar-g-neuro-surgeon
Dr. Rohith Reddy Pathuri,"MBBS, MD (Pulmonology), CCPM, CMD",Pulmonologist,skedoc.com/hyderabad/doctor/dr-rohith-reddy-pathuri-pulmonologist
Dr. Rose Mary,"MBBS, MD, DM (Gastro)",Gastroenterologist,skedoc.com/hyderabad/doctor/dr-rose-mary-gastroenterologist
Dr. S. A. Swathi,"MBBS, MS, MCh (Plastic Surgery)",Plastic surgeon,skedoc.com/hyderabad/doctor/dr-s-a-swathi-plastic-surgeon
Dr. Sameer Azad Mahendra,"MDS,",Dentist,skedoc.com/hyderabad/doctor/dr-sameer-azad-mahendra-dentist
Dr. Santhosh Kumar Padakanti,"MBBS, DNB (CT Surgery)",Cardio Thoracic Surgeon,skedoc.com/hyderabad/doctor/dr-santhosh-kumar-padakanti-cardio-thoracic-surgeon
Dr. Seshivardhan Janjirala,"MBBS, DNB, DM (Cardiology)",Cardiologist,skedoc.com/hyderabad/doctor/dr-seshivardhan-janjirala-cardiologist
Dr. Shyam Sunder Reddy,"MBBS, DNB (Orthopaedics)",Orthopaedic Surgeon,skedoc.com/hyderabad/doctor/dr-shyam-sunder-reddy-orthopaedic-surgeon
Dr. Sreepada Venkata Subramanyam,"MBBS, MD , DNB (Nephrology), MISN, FSRH",Nephrologist,skedoc.com/hyderabad/doctor/dr-sreepada-venkata-subramanyam-nephrologist
Dr. Sudha S,"MBBS, MD, DGO, FMAS",Gynaecologist,skedoc.com/hyderabad/doctor/dr-sudha-s-gynaecologist
Dr. Swapna Palakurthi,"MBBS, MS, M Ch (Paediatric Surgery)",Paediatric Surgeon,skedoc.com/hyderabad/doctor/dr-swapna-palakurthi-paediatric-surgeon
Dr. Syed Murtaza Ahmed,"MBBS, DNB (General Surgery), DNB (Surgical oncology)",Surgical Oncologist,skedoc.com/hyderabad/doctor/dr-syed-murtaza-ahmed-surgical-oncologist
Dr. Thajammul Samrin,"MBBS, MS (Obstetrics and Gynaecology)",Gynaecologist,skedoc.com/hyderabad/doctor/dr-thajammul-samrin-gynaecologist
Dr. U Azadh Chandrashekar,"MBBS, MS, MCh (Surgical Oncology)",Surgical Oncologist,skedoc.com/hyderabad/doctor/dr-u-azadh-chandrashekar-surgical-oncologist
Dr.Karthik Munagala,"MBBS, MS (ENT)",ENT Surgeon,skedoc.com/hyderabad/doctor/dr-karthik-munagala-ent-surgeon
Dr.M Shyam Sunder Reddy,"MBBS, MS (Ortho)",Orthopaedic Surgeon,skedoc.com/hyderabad/doctor/dr-m-shyam-sunder-reddy-orthopaedic-surgeon
Dr. B. Bhargavi,"MBBS, MD (Paediatrics)",Paediatrician,skedoc.com/hyderabad/doctor/dr-b-bhargavi-paediatrician
Dr. G. Navneetha,"MBBS, DNB",General Physician,skedoc.com/hyderabad/doctor/dr-g-navneetha-general-physician
Dr. Gopi Arrolla,"MBBS, DNB (Pulmonary Medicine)",Pulmonologist,skedoc.com/hyderabad/doctor/dr-gopi-arrolla-pulmonologist
Dr. Krishi Kumar Vadla,MPT,Physiotherapist,skedoc.com/hyderabad/doctor/dr-krishi-kumar-vadla-physiotherapist
Dr. N Praveen,"MBBS, MD, DNB (Cardiology)",Cardiologist,skedoc.com/hyderabad/doctor/dr-n-praveen-cardiologist
Dr. P. Krishna Chaitanya,"MBBS, DNB (General Surgery)",General Surgeon,skedoc.com/hyderabad/doctor/dr-p-krishna-chaitanya-general-surgeon
Dr. P.Swathi Reddy,"MBBS, MS (Obstetrics and Gynaecology)",Gynaecologist,skedoc.com/hyderabad/doctor/dr-p-swathi-reddy-gynaecologist
Dr. Ramesh Chepuru,"MBBS, DNB, DM (Neurology)",Neurologist,skedoc.com/hyderabad/doctor/dr-ramesh-chepuru-neurologist
Dr. Sudhir Davala,"MBBS, DNB, MRCGP",General Physician,skedoc.com/hyderabad/doctor/dr-sudhir-davala-general-physician
Dr. Ujwal Gajula,"MBBS, DNB (Med), DNB (Gastroenterology)",Gastroenterologist,skedoc.com/hyderabad/doctor/dr-ujwal-gajula-gastroenterologist
Dr. V. Naveen Reddy,"MBBS, DNB (Neurosurgery)",Neuro Surgeon,skedoc.com/hyderabad/doctor/dr-v-naveen-reddy-neuro-surgeon
Dr. Venkat Rami Reddy Kolli,"MBBS, MS (Orthopaedics)",Orthopaedic Surgeon,skedoc.com/hyderabad/doctor/dr-venkat-rami-reddy-kolli-orthopaedic-surgeon
Dr. Aijaz Baig,"MD (Physician) , PGDCC",Clinical Cardiologist,skedoc.com/hyderabad/doctor/dr-aijaz-baig-clinical-cardiologist
Dr. Akheel Ahmed,"MBBS, MS (Gen Surgery)",General Surgeon,skedoc.com/hyderabad/doctor/dr-akheel-ahmed-general-surgeon
Dr. Anfas Nusrath Pasha,"MBBS, MD (Gen Medicine)",General Physician,skedoc.com/hyderabad/doctor/dr-anfas-nusrath-pasha-general-physician
Dr. CH. Murali Kondaiah,"MBBS, MS (ENT)",ENT Surgeon,skedoc.com/hyderabad/doctor/dr-ch-murali-kondaiah-ent-surgeon
Dr. Fahad Abdullah,"MBBS, MD, FCCP",Pulmonologist,skedoc.com/hyderabad/doctor/dr-fahad-abdullah-pulmonologist
Dr. Faiz Hussain Mohammad,"MBBS, MS (Gen Surgery)",General Surgeon,skedoc.com/hyderabad/doctor/dr-faiz-hussain-mohammad-general-surgeon
Dr. Farha Naaz,"MBBS, MS (ENT)",ENT Surgeon,skedoc.com/hyderabad/doctor/dr-farha-naaz-ent-surgeon
Dr. Hidayatullah. G,"MBBS, MS, M Ch (Urology)",Urologist,skedoc.com/hyderabad/doctor/dr-hidayatullah-g-urologist
Dr. Humera Sulthana,"MBSS, DNB, FMAS",Gynaecologist,skedoc.com/hyderabad/doctor/dr-humera-sulthana-gynaecologist
Dr. K. Monica Bindu,"MBBS, DNB (Pulmonary Medicine)",Pulmonologist,skedoc.com/hyderabad/doctor/dr-k-monica-bindu-pulmonologist
Dr. M A Mukheem Mudabbir,"MBBS, MD, DM (Neurology)",Neurologist,skedoc.com/hyderabad/doctor/dr-m-a-mukheem-mudabbir-neurologist
Dr. MD Rehan Qureshi,"MBBS, MS, MCh (Plastic Surgery)",Plastic surgeon,skedoc.com/hyderabad/doctor/dr-md-rehan-qureshi-plastic-surgeon
Dr. Md. Nadeem Ahmed,"MBBS, MD, DM (Medical Oncology)",Medical Oncologist,skedoc.com/hyderabad/doctor/dr-md-nadeem-ahmed-medical-oncologist
Dr. Mohammad Nomaan,"MBBS, DNB,  D. Ortho",Orthopaedic Surgeon,skedoc.com/hyderabad/doctor/dr-mohammad-nomaan-orthopaedic-surgeon
Dr. Mohammed Abdul Bari,"MBBS, MS (Orthopaedics)",Orthopaedic Surgeon,skedoc.com/hyderabad/doctor/dr-mohammed-abdul-bari-orthopaedic-surgeon
Dr. Mohammed Adil Asfan,"MBBS, MS, MCh ( GI Surgery)",Surgical Gastroenterologist,skedoc.com/hyderabad/doctor/dr-mohammed-adil-asfan-surgical-gastroenterologist
Dr. Mohammed Fayazuddin,"MBBS, DNB, M Ch, DNB (Vascular Surgery)",Vascular Surgeon,skedoc.com/hyderabad/doctor/dr-mohammed-fayazuddin-vascular-surgeon
Dr. Mohammed Mujtaba Ali,"MBBS, MS, DNB MCh (Surg Onco), DNB (Surg Onco)",Surgical Oncologist,skedoc.com/hyderabad/doctor/dr-mohammed-mujtaba-ali-surgical-oncologist
Dr. Mohammed Muzahid,"MBBS, MS, MCh (Neurosurgery)",Neuro Surgeon,skedoc.com/hyderabad/doctor/dr-mohammed-muzahid-neuro-surgeon
Dr. Mohammed Sadiq Azam,"MBBS, MD, DNB (Cardiology)",Cardiologist,skedoc.com/hyderabad/doctor/dr-mohammed-sadiq-azam-cardiologist
Dr. Mohd Abdul Quddus,"MBBS, DTCD, DNB",Pulmonologist,skedoc.com/hyderabad/doctor/dr-mohd-abdul-quddus-pulmonologist
Dr. Mohd Ifthekhar Mohiuddin,"MBBS, MD (Gen Medicine)",General Physician,skedoc.com/hyderabad/doctor/dr-mohd-ifthekhar-mohiuddin-general-physician
Dr. Mubashir Ahmed,"MBBS, DNB (Paediatrics)",Paediatrician,skedoc.com/hyderabad/doctor/dr-mubashir-ahmed-paediatrician
Dr. Parag Dashatwar,"MBBS, MD, DNB (Gastroenterology)",Gastroenterologist,skedoc.com/hyderabad/doctor/dr-parag-dashatwar-gastroenterologist
Dr. Patel Sana Fathima,"MBBS, DGO",Gynaecologist,skedoc.com/hyderabad/doctor/dr-patel-sana-fathima-gynaecologist
Dr. Shabana Nazneen,"MBBS, MD, DM (Nephrology)",Nephrologist,skedoc.com/hyderabad/doctor/dr-shabana-nazneen-nephrologist
Dr. Shafi Najeeb,"MBBS, DNB (General Surgery)",General Surgeon,skedoc.com/hyderabad/doctor/dr-shafi-najeeb-general-surgeon
Dr. Shyam Sunder Rao C,"MBBS, MD, DM (Nephrology)",Nephrologist,skedoc.com/hyderabad/doctor/dr-shyam-sunder-rao-c-nephrologist
Dr. Aluri Vijayalakshmi,"MBBS, MS (OBG)",Gynaecologist,skedoc.com/hyderabad/doctor/dr-aluri-vijayalakshmi-gynaecologist
Dr. Annapureddy Jagadish,"MBBS, MD, DM (Neurology)",Neurologist,skedoc.com/hyderabad/doctor/dr-annapureddy-jagadish-neurologist
Dr. Anuradha Sharma,"MBBS, MS (Ophthalmology)",Ophthalmologist,skedoc.com/hyderabad/doctor/dr-anuradha-sharma-ophthalmologist
Dr. B. Padmanabha Varma,"MBBS, MD, DM (Endocrinology)",Endocrinologist,skedoc.com/hyderabad/doctor/dr-b-padmanabha-varma-endocrinologist
Dr. Elka Suresh,"MBBS, MD (General Medicine)",General Physician,skedoc.com/hyderabad/doctor/dr-elka-suresh-general-physician
Dr. G.V.S. Raghunath Babu,"MBBS, DNB (Med), DNB (Gastroenterology)",Gastroenterologist,skedoc.com/hyderabad/doctor/dr-g-v-s-raghunath-babu-gastroenterologist
Dr. Jaswanth Challa,"MBBS, MD, DM (Nephrology)",Nephrologist,skedoc.com/hyderabad/doctor/dr-jaswanth-challa-nephrologist
Dr. Kancharla Suresh Reddy,"MBBS, MD (Psychiatry)",Psychiatrist,skedoc.com/hyderabad/doctor/dr-kancharla-suresh-reddy-psychiatrist
Dr. M.Sandhya Swaroopa,"MBBS, MD",Pulmonologist,skedoc.com/hyderabad/doctor/dr-m-sandhya-swaroopa-pulmonologist
Dr. Naresh Aremanda,"MD, FIRH",Rheumatologist,skedoc.com/hyderabad/doctor/dr-naresh-aremanda-rheumatologist
Dr. Naveen Nukala,"MBBS, MS (Ophthalmology), FVRS",Ophthalmologist,skedoc.com/hyderabad/doctor/dr-naveen-nukala-ophthalmologist
Dr. Nisarga,"MBBS, MS, MCh (CTVS)",Cardio Thoracic Surgeon,skedoc.com/hyderabad/doctor/dr-nisarga-cardio-thoracic-surgeon
Dr. P. S.Gautam,"MBBS, MD, DM (Cardiology)",Cardiologist,skedoc.com/hyderabad/doctor/dr-p-s-gautam-cardiologist
Dr. P. Sukanya,M Sc (Nutrition),Nutritionist/Dietitian,skedoc.com/hyderabad/doctor/dr-p-sukanya-nutritionist-dietitian
Dr. Rahul Nag Namburi,"MBBS, MD, DM (Neurology)",Neurologist,skedoc.com/hyderabad/doctor/dr-rahul-nag-namburi-neurologist
Dr. S. Bhargava Reddy,"MBBS, MS (Gen Surg), DNB (Urology)",Urologist,skedoc.com/hyderabad/doctor/dr-s-bhargava-reddy-urologist
Dr. Sai Sahul Devineni,"MBBS, MD (General Medicine)",General Physician,skedoc.com/hyderabad/doctor/dr-sai-sahul-devineni-general-physician
Dr. Salla Vijay,"MBBS, DNB (Pulmonary Medicine)",Pulmonologist,skedoc.com/hyderabad/doctor/dr-salla-vijay-pulmonologist
Dr. Sameera Alluri,"MBBS, MD (OBG)",Gynaecologist,skedoc.com/hyderabad/doctor/dr-sameera-alluri-gynaecologist
Dr. Siva Kumar Reddy,"MBBS, MD, DNB, DM (Cardiology)",Cardiologist,skedoc.com/hyderabad/doctor/dr-siva-kumar-reddy-cardiologist
Dr. Sree Sudha Pargewar,"MBBS, DLO, DNB (ENT)",ENT Surgeon,skedoc.com/hyderabad/doctor/dr-sree-sudha-pargewar-ent-surgeon
Dr. Sri Chaitanya Reddy,"MBBS, MD (Dermatology)",Dermatologist,skedoc.com/hyderabad/doctor/dr-sri-chaitanya-reddy-dermatologist
Dr. Tushara Aluri,"MBBS, DO, MS  (Oph), MRCO",Ophthalmologist,skedoc.com/hyderabad/doctor/dr-tushara-aluri-ophthalmologist
Dr. V Ramprasad,"MBBS, MS (Gen Surgery)",General Surgeon,skedoc.com/hyderabad/doctor/dr-v-ramprasad-general-surgeon
Dr. V. Chandra Sekhar,"MBBS, MD (Gen Medicine)",General Physician,skedoc.com/hyderabad/doctor/dr-v-chandra-sekhar-general-physician
Dr. V. S. Ramchandra,"MBBS, MD, DM (Cardiology)",Cardiologist,skedoc.com/hyderabad/doctor/dr-v-s-ramchandra-cardiologist
Dr. Venkat Ram Prasad Vallamshetla,"MBBS, MS (Orthopaedics), FRCS",Orthopaedic Surgeon,skedoc.com/hyderabad/doctor/dr-venkat-ram-prasad-vallamshetla-orthopaedic-surgeon
Dr Gandhe Sridhar,"MBBS, MD (Paeds), DM (Nephrology)",Nephrologist,skedoc.com/hyderabad/doctor/dr-gandhe-sridhar-nephrologist
Dr Vikram Varma Jampana,"MBBS, MD (Gen Medicine)",General Physician,skedoc.com/hyderabad/doctor/dr-vikram-varma-jampana-general-physician
Dr. A.M.V.R. Narendra,"MBBS, MD, DM (Clinical Hematology)",Haematologist,skedoc.com/hyderabad/doctor/dr-a-m-v-r-narendra-haematologist
Dr. Anitha Kotha,"MBBS, DNB (Gen Med), DM (Neurology)",Neurologist,skedoc.com/hyderabad/doctor/dr-anitha-kotha-neurologist
Dr. Ankita Harijee,"MBBS, MS, M Ch (Plastic Surgeon)",Plastic surgeon,skedoc.com/hyderabad/doctor/dr-ankita-harijee-plastic-surgeon
Dr. Avinash Gottumukkala,"MBBS, MS, M Ch (Urology)",Urologist,skedoc.com/hyderabad/doctor/dr-avinash-gottumukkala-urologist
Dr. Bala Naga Sindhura Kambhampati,"MBBS, MD ( DVL)",Dermatologist,skedoc.com/hyderabad/doctor/dr-bala-naga-sindhura-kambhampati-dermatologist
Dr. Bharat Kumar Nara,"MBBS, MS, MCh (Surg Gastro)",Surgical Gastroenterologist,skedoc.com/hyderabad/doctor/dr-bharat-kumar-nara-surgical-gastroenterologist
Dr. Chinna Babu Dracham,"MBBS, MD (Radiation Oncology)",Radiation Oncologist,skedoc.com/hyderabad/doctor/dr-chinna-babu-dracham-radiation-oncologist
Dr. Dandu Satya Bhaskar Raju,"MBBS, MS, MCh (CT)",Cardio Thoracic Surgeon,skedoc.com/hyderabad/doctor/dr-dandu-satya-bhaskar-raju-cardio-thoracic-surgeon
Dr. G Veda Prakash,"MBBS, MS , DNB , MRCS (Ed), FRCS (Tr & Ortho)",Orthopaedic Surgeon,skedoc.com/hyderabad/doctor/dr-g-veda-prakash-orthopaedic-surgeon
Dr. G. Shashi Kanth,"MBBS, MS , MRCS, MRCSI, FRCS",Orthopaedic Surgeon,skedoc.com/hyderabad/doctor/dr-g-shashi-kanth-orthopaedic-surgeon
Dr. Golamari Srinivasa Reddy,"MBBS, MD, DM (Hepatology)",Hepatologist,skedoc.com/hyderabad/doctor/dr-golamari-srinivasa-reddy-hepatologist
Dr. Gopichand Mannam,"MBBS, FRCS (Edin), FRCS (Glasgow), FRCS (CTS)",Cardio Thoracic Surgeon,skedoc.com/hyderabad/doctor/dr-gopichand-mannam-cardio-thoracic-surgeon
Dr. Hari Ram. V,"MBBS, MD, DM (Cardiology)",Cardiologist,skedoc.com/hyderabad/doctor/dr-hari-ram-v-cardiologist
Dr. I.Chandana Reddy,"MBBS, MD, DM (Pulmo & Critical care)",Pulmonologist,skedoc.com/hyderabad/doctor/dr-i-chandana-reddy-pulmonologist
Dr. Jyothsna Guttikonda,"MBBS, AB Nephrology (USA)",Nephrologist,skedoc.com/hyderabad/doctor/dr-jyothsna-guttikonda-nephrologist
Dr. Kanishka Kavuri,"MBBS, MD, DNB (Pulmonary Medicine)",Pulmonologist,skedoc.com/hyderabad/doctor/dr-kanishka-kavuri-pulmonologist
Dr. Kishan Srikanth,"MBBS, MD, DM ( Pulmonology)",Pulmonologist,skedoc.com/hyderabad/doctor/dr-kishan-srikanth-pulmonologist
Dr. Kondal Reddy Mogili,"MBBS, MD, DNB (Gastroenterology)",Gastroenterologist,skedoc.com/hyderabad/doctor/dr-kondal-reddy-mogili-gastroenterologist
Dr. M. Venu Gopal Reddy,"MBBS, MS (Orthopaedics)",Orthopaedic Surgeon,skedoc.com/hyderabad/doctor/dr-m-venu-gopal-reddy-orthopaedic-surgeon
Dr. Madhuri.H.R,"MBBS, MD, DM (Rheumatology)",Rheumatologist,skedoc.com/hyderabad/doctor/dr-madhuri-h-r-rheumatologist
Dr. Nagaraju Pujari,"MBBS, MD",General Physician,skedoc.com/hyderabad/doctor/dr-nagaraju-pujari-general-physician
Dr. P Raghava Raju,"MBBS, MD, DM (Cardiology)",Cardiologist,skedoc.com/hyderabad/doctor/dr-p-raghava-raju-cardiologist
Dr. P. Bharath Kumar,"MBBS, MS, DNB (Surgical Oncology), FMAS",Surgical Oncologist,skedoc.com/hyderabad/doctor/dr-p-bharath-kumar-surgical-oncologist
Dr. Praveen Mereddy,"MS (Ortho), DNB (Ortho), MRCS (Ed), M.Ch (Ortho), FRCS",Orthopaedic Surgeon,skedoc.com/hyderabad/doctor/dr-praveen-mereddy-orthopaedic-surgeon
Dr. Rajesh Vasu,"MBBS, MS, MCh (Plastic Surgery)",Plastic surgeon,skedoc.com/hyderabad/doctor/dr-rajesh-vasu-plastic-surgeon
